Station,Region,A1,B1,C1,A2,B2,C2
NDD_US,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
RSAC155,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
RSAC142,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
RSAC139,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
SAC_DS_SUTSL,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
SAC_DS_STMBTSL,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
RSAC128,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
RSAC123,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
RSAC101,Western,2.90E-06,0.285,-50,0.0003,0.0146,0
RSAC092,Western,2.90E-06,0.285,-50,0.0003,0.0146,0
RSAC084,Western,2.90E-06,0.285,-50,0.0003,0.0146,0
RSAC081,Western,2.90E-06,0.285,-50,0.0003,0.0146,0
RSAC075,Western,2.90E-06,0.285,-50,0.0003,0.0146,0
CHIPS_N_437,Western,2.90E-06,0.285,-50,0.0003,0.0146,0
CHIPS_S_442,Western,2.90E-06,0.285,-50,0.0003,0.0146,0
RSAC064,Western,2.90E-06,0.285,-50,0.0003,0.0146,0
SACR_AT_SUISUN_BAY,Western,2.90E-06,0.285,-50,0.0003,0.0146,0
RSAC054,Western,2.90E-06,0.285,-50,0.0003,0.0146,0
DCC,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
GEORG_SL,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
SUTR_SL,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
SUT_US_MIN,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
MINER_SL,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
STMBT_SL,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
SLSBT011,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
SLCCH016,SacR,1.40E-04,0.0161,0,1.40E-04,0.0161,0
SLBAR002,Barker Slough,1.10E-04,0.036,0,1.10E-04,0.036,0
CACHE_RYER,Barker Slough,1.10E-04,0.036,0,1.10E-04,0.036,0
SLTRM004,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
RMKL019,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
RSMKL008,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
SLMZU011,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
SLCBN002,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
SLSUS012,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
FALSER_RUSSO_LNDG,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
DISPT_SL,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
COLUMBIA_CUT,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
TRNR_CUT,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
CHCCC006,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
VICT_INTAKE,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
GLC_W_DS_BAR,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
CLIFTON_COURT,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
CHSWP003,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
CHDMC006,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
CHDMC004,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
RMID015,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
RMID040,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
RMID041,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
ROLD024,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
ROLD034,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
ROLD059,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
OLDR_MIDR,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
ROLD074,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
RSAN007,Western,2.90E-06,0.285,-50,0.0003,0.0146,0
RSAN018,Western,2.90E-06,0.285,-50,0.0003,0.0146,0
SJR_SAN_AND,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
RSAN032,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
RSAN037,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
RSAN043,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
RSAN046,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
SJR_BUCKLEY_COVE,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
RSAN058,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
RSAN072,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
RSAN112,Interior,2.90E-06,0.285,-50,1.70E-05,0.13,-8
