CHSWP003,Clifton Court Forebay,MEAN
CHDMC006,Delta Mendota Canal at Tracy Pumping Plant,MEAN
ROLD024,Contra Costa Canal at Pumping Plant #1,MEAN
RSAN007,San Joaquin River at Antioch Water Works,MEAN
SLBAR002,Barker Slough at North Bay Aqueduct Intake,MEAN
RSAC092,Sacramento River at Emmaton,MEAN
RSAN018,San Joaquin River at Jersey Point,MEAN
RSMKL008,South Fork Mokelumne River at Terminous,MEAN
RSAN032,San Joaquin River at San Andreas Landing,MEAN
RSAN112,San Joaquin River at Airport Way Bridge Vernalis,MEAN
RSAN072,San Joaquin River at Brandt Bridge site,MEAN
OLDR_MIDR,Old River near Middle River,MEAN
ROLD059,Old River at Tracy Road Bridge,MEAN
RSAN037,San Joaquin River at Prisoners Point,MEAN
RSAC081,Sacramento River at Collinsville,MEAN
SLMZU025,Montezuma Slough at National Steel,MEAN
SLMZU011,Montezuma Slough near Beldon Landing,MEAN
SLCBN002,Chadboume Slough at Sunrise Duck Club,MEAN
SLSUS012,Suisun Slough 300 ft south of Volanti Slough,MEAN
SLCCH016,Cache Slough at City of Vallejo Intake,MEAN
ROLD034,CCWD Los Vaqueros Intake,MEAN
VICT_INTAKE,CCWD Victoria Canal Intake,MEAN
RSAN043,City of Stockton Intake,MEAN
RSAN007,San Joaquin River at Antioch Water Works,MAX
